ID,Smiles,IC50 (nM),canonical_smiles,Molecular Weight,LogP,num_H_acceptors,num_H_Donors
51455869,OC(=O)[C@@H]1CCCCN1Cc1ccc(CCc2cccc(c2Br)-c2ccccc2)cc1OCc1ccnc(c1)C#N,0.0,N#Cc1cc(COc2cc(CCc3cccc(-c4ccccc4)c3Br)ccc2CN2CCCC[C@H]2C(=O)O)ccn1,610.5520000000002,7.1860800000000085,5,1
51240354,OC(=O)[C@@H]1CCCCN1Cc1cc(Cl)c(CCc2cccc(c2Br)-c2ccccc2)cc1OCc1ccnc(c1)C#N,0.0,N#Cc1cc(COc2cc(CCc3cccc(-c4ccccc4)c3Br)c(Cl)cc2CN2CCCC[C@H]2C(=O)O)ccn1,644.997,7.839480000000009,5,1
1021612,OC[C@H](NCc1cc(Cl)c(OCc2cccc(c2Br)-c2ccccc2)cc1OCc1cccnc1)C(O)=O,0.0001,O=C(O)[C@H](CO)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,597.893,5.857600000000004,6,3
1212892,COc1cc(ncc1CNCC1(O)CC1)C(=O)Nc1cccc(c1C)-c1cccc(NC(=O)c2cc(OC)c(CNCC3(O)CC3)cn2)c1C,0.032,COc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(OC)c(CNCC5(O)CC5)cn4)c3C)c2C)ncc1CNCC1(O)CC1,680.806,4.5112400000000035,10,6
1212930,COc1cc(ncc1CN[C@H]1C[C@H](C1)C(O)=O)C(=O)Nc1cccc(c1C)-c1cccc(NC(=O)c2cc(OC)c(CN[C@H]3C[C@H](C3)C(O)=O)cn2)c1C,0.034,COc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(OC)c(CN[C@H]5C[C@@H](C(=O)O)C5)cn4)c3C)c2C)ncc1CN[C@H]1C[C@@H](C(=O)O)C1,736.826,5.187840000000003,10,6
1212884,COc1cc(ncc1CN(C)CCO)C(=O)Nc1cccc(c1C)-c1cccc(NC(=O)c2cc(OC)c(CN(C)CCO)cn2)c1C,0.04,COc1cc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(OC)c(CN(C)CCO)cn4)c3C)c2C)ncc1CN(C)CCO,656.7840000000001,4.130440000000004,10,4
51455865,Cc1c(COc2cc(OCc3cccc(c3)C#N)c(CN[C@H](CCO)C(O)=O)cc2Cl)cccc1-c1cccc(COc2cc(OCc3cccnc3)c(CN[C@@H](CCO)C(O)=O)cc2Cl)c1,0.04,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](CCO)C(=O)O)cc2Cl)cccc1-c1cccc(COc2cc(OCc3cccnc3)c(CN[C@@H](CCO)C(=O)O)cc2Cl)c1,949.8849999999999,8.401900000000008,12,6
51404143,CS(=O)(=O)c1cncc(COc2nc(O[C@H]3CCc4c3cccc4-c3cccc4[C@H](CCc34)Oc3nc(OCc4cncc(c4)S(C)(=O)=O)c(CN4C[C@@H](O)C[C@H]4C(O)=O)cc3Cl)c(Cl)cc2CN2C[C@@H](O)C[C@H]2C(O)=O)c1,0.051,CS(=O)(=O)c1cncc(COc2nc(O[C@H]3CCc4c(-c5cccc6c5CC[C@@H]6Oc5nc(OCc6cncc(S(C)(=O)=O)c6)c(CN6C[C@@H](O)C[C@H]6C(=O)O)cc5Cl)cccc43)c(Cl)cc2CN2C[C@@H](O)C[C@H]2C(=O)O)c1,1146.0940000000003,6.377600000000006,18,4
51404142,C[C@@](CO)(NCc1cc(Cl)c(O[C@H]2CCc3c2cccc3-c2cccc3[C@H](CCc23)Oc2nc(OCc3cncc(c3)S(C)(=O)=O)c(CN[C@@](C)(CO)C(O)=O)cc2Cl)nc1OCc1cncc(c1)S(C)(=O)=O)C(O)=O,0.058,C[C@@](CO)(NCc1cc(Cl)c(O[C@H]2CCc3c(-c4cccc5c4CC[C@@H]5Oc4nc(OCc5cncc(S(C)(=O)=O)c5)c(CN[C@@](C)(CO)C(=O)O)cc4Cl)cccc32)nc1OCc1cncc(S(C)(=O)=O)c1)C(=O)O,1122.072,6.188400000000006,18,6
929417,COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2cnn(CCO)c2)c(OC)n1,0.06,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC[C@@H]5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCc1cnn(CCO)c1,718.6459999999998,4.438400000000003,12,4
1243906,COc1nc(cnc1CN1CC(C)(O)C1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(C)(O)C2)c(OC)n1,0.06,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(C)(O)C1,637.568,4.7248000000000046,10,2
