ID,Smiles,IC50 (nM),canonical_smiles,Molecular Weight,LogP,num_H_acceptors,num_H_Donors
CHEMBL4862360,C[C@@](CO)(NCc1cc(Cl)c(O[C@H]2CCc3c(-c4cccc5c4CC[C@@H]5Oc4nc(OCc5cncc(S(C)(=O)=O)c5)c(CN[C@@](C)(CO)C(=O)O)cc4Cl)cccc32)nc1OCc1cncc(S(C)(=O)=O)c1)C(=O)O,0.058,C[C@@](CO)(NCc1cc(Cl)c(O[C@H]2CCc3c(-c4cccc5c4CC[C@@H]5Oc4nc(OCc5cncc(S(C)(=O)=O)c5)c(CN[C@@](C)(CO)C(=O)O)cc4Cl)cccc32)nc1OCc1cncc(S(C)(=O)=O)c1)C(=O)O,1122.072,6.188400000000006,18,6
CHEMBL4869359,Cc1c(Nc2cccc(-c3ccc(CNCCO)cc3)n2)cccc1-c1ccc2c(c1)OCCO2,1000.0,Cc1c(Nc2cccc(-c3ccc(CNCCO)cc3)n2)cccc1-c1ccc2c(c1)OCCO2,467.56900000000024,5.320720000000004,6,3
CHEMBL4877288,Cc1c(-c2ccc3c(c2)OCCO3)cccc1N1Cc2cc(CNCCO)ccc2C1=O,1000.0,Cc1c(-c2ccc3c(c2)OCCO3)cccc1N1Cc2cc(CNCCO)ccc2C1=O,430.5040000000002,3.6755200000000015,5,2
CHEMBL4868972,COc1cc(-c2cccc(-c3cccc(-c4ccc(CNCC5CCC(=O)N5)c(OC)c4)c3C)c2C)ccc1CNCC1CCC(=O)N1,139.0,COc1cc(-c2cccc(-c3cccc(-c4ccc(CNCC5CCC(=O)N5)c(OC)c4)c3C)c2C)ccc1CNCC1CCC(=O)N1,646.832,6.058040000000005,6,4
CHEMBL4861800,CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1cccc(C#N)c1,58.0,CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1cccc(C#N)c1,736.3570000000001,6.780100000000009,8,3
CHEMBL4646568,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCC(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,12.9,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCC(O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,597.1110000000001,6.682900000000007,7,1
CHEMBL4099869,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,146.0,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,494.42900000000003,6.442620000000006,3,1
CHEMBL4439532,Cc1c(NC(=O)c2cc(CNCCS(N)(=O)=O)cn3cnnc23)cccc1-c1ccccc1,834.0,Cc1c(NC(=O)c2cc(CNCCS(N)(=O)=O)cn3cnnc23)cccc1-c1ccccc1,464.5510000000001,2.3351200000000008,7,3
CHEMBL4450074,Cc1c(NC(=O)c2cc(CNCC(N)=O)cn3cnnc23)cccc1-c1ccccc1,2945.0,Cc1c(NC(=O)c2cc(CNCC(N)=O)cn3cnnc23)cccc1-c1ccccc1,414.4690000000001,2.5319200000000013,6,3
CHEMBL4541583,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccccc1,733.3,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccccc1,401.4700000000001,3.038920000000001,6,3
