"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL556073";"";"None";"517.89";"2";"6.24";"1";"Cc1c(Cc2cccc(OCC(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1C(=O)c1ccc(Cl)cc1";"IC50";"'>'";"15000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1035293";"Inhibition of human PPARalpha receptor by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158459";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL118756";"";"None";"451.56";"1";"5.84";"12";"CCCc1cc(C2CCCCC2)ccc1OCCCOc1cccc(C2OC(=O)NC2=O)c1";"IC50";"'='";"290.0";"nM";"6.54";"";"";"UO_0000065";"14.48";"0.27";"0.70";"8.85";"0";"CHEMBL765405";"In vitro binding affinity was tested towards human Peroxisome proliferator activated receptor alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136294";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL300629";"";"None";"477.58";"1";"6.30";"11";"CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL764508";"In vitro binding affinity against human Peroxisome proliferator activated receptor alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136170";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL209563";"";"None";"464.48";"1";"5.64";"24";"CCCc1c(OCCCN(C)c2ccc(CC(=O)O)cc2C)ccc2c(C(F)(F)F)noc12";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"13.40";"0.26";"0.58";"8.21";"0";"CHEMBL870175";"Inhibition of PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148661";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL392950";"";"None";"506.52";"2";"6.67";"13i";"O=C(O)COc1ccc(SCc2ccc(OCc3ccc(F)cc3C(F)(F)F)cc2)c2c1CCC2";"IC50";"'='";"3481.0";"nM";"5.46";"";"";"UO_0000065";"10.78";"0.21";"-1.21";"9.79";"0";"CHEMBL896361";"Displacement of [3H]2-(4-(2-(3-(2,4-difluorophenyl)-1-heptylureido)ethyl)phenoxy)-2-methylbutanoic acid from human PPARalpha after 30 mins by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL232397";"";"None";"488.53";"1";"6.53";"13a";"O=C(O)COc1ccc(SCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c2c1CCC2";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"12.12";"0.24";"-0.61";"10.62";"0";"CHEMBL896361";"Displacement of [3H]2-(4-(2-(3-(2,4-difluorophenyl)-1-heptylureido)ethyl)phenoxy)-2-methylbutanoic acid from human PPARalpha after 30 mins by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL94306";"";"None";"477.58";"1";"6.30";"1";"CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"15.81";"0.30";"1.25";"10.23";"1";"CHEMBL765405";"In vitro binding affinity was tested towards human Peroxisome proliferator activated receptor alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136294";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL590984";"";"None";"576.76";"2";"8.86";"17b";"CCCc1c(SC)c2ccc(NC(=O)C(CC)c3ccccc3)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1068982";"Displacement of radiolabeled GW-2433 from human PPARalpha ligand binding domain expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156860";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL438088";"";"None";"462.55";"1";"5.47";"15";"CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccccc3OC(C)C)oc2C)c1)C(=O)O";"IC50";"'='";"209.0";"nM";"6.68";"";"";"UO_0000065";"14.44";"0.27";"1.21";"7.70";"0";"CHEMBL864209";"Binding affinity to PPARalpha by radio ligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146855";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL213675";"";"None";"472.46";"1";"5.70";"18";"CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1)C(=O)O";"IC50";"'='";"70.0";"nM";"7.16";"";"";"UO_0000065";"15.14";"0.29";"1.45";"9.23";"0";"CHEMBL864209";"Binding affinity to PPARalpha by radio ligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146855";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL210163";"";"None";"473.36";"1";"5.99";"23";"CCOC(Cc1ccc2c(ccn2Cc2nc(-c3cc(Cl)cc(Cl)c3)oc2C)c1)C(=O)O";"IC50";"'='";"419.0";"nM";"6.38";"";"";"UO_0000065";"13.47";"0.27";"0.39";"8.23";"0";"CHEMBL864209";"Binding affinity to PPARalpha by radio ligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146855";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL211839";"";"None";"464.52";"0";"4.70";"24";"CCOC(Cc1ccc2c(ccn2Cc2nc(-c3cc(OC)cc(OC)c3)oc2C)c1)C(=O)O";"IC50";"'='";"253.0";"nM";"6.60";"";"";"UO_0000065";"14.20";"0.26";"1.90";"6.88";"0";"CHEMBL864209";"Binding affinity to PPARalpha by radio ligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146855";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL202515";"";"None";"479.53";"1";"5.96";"10i";"O=C(O)Cn1ccc2ccc(OCCCOc3ccc4cc(C(=O)c5ccccc5)ccc4c3)cc21";"IC50";"'='";"4486.0";"nM";"5.35";"";"";"UO_0000065";"11.15";"0.20";"-0.61";"6.88";"0";"CHEMBL859134";"Displacement of [3H]L-783483 from human PPAR alpha by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149440";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL373685";"";"None";"558.63";"2";"6.72";"34";"Cc1oc(-c2ccc(Oc3ccccc3)cc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)OC(C)C)c1";"IC50";"'='";"516.0";"nM";"6.29";"";"";"UO_0000065";"11.25";"0.21";"-0.43";"5.23";"0";"CHEMBL912555";"Displacement of [3H]2-(4-{2-[3-(2,4-difluoro-phenyl)-1-heptyl-ureido]-ethyl}-phenoxy)-2-methyl-butyric acid from hPPARalpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146164";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL392058";"";"None";"487.47";"1";"5.98";"5";"Cc1cc(Oc2cccc(CNC(=O)c3ccc(C(F)(F)F)cc3)c2)ccc1OC(C)(C)C(=O)O";"IC50";"'='";"3487.0";"nM";"5.46";"";"";"UO_0000065";"11.20";"0.21";"-0.52";"6.43";"0";"CHEMBL902596";"Displacement of [3H]2-(4-{2-[3-(2,4-difluoro-phenyl)-1-heptyl-ureido]-ethyl}-phenoxy)-2-methyl-butyric acid from human PPARalpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138336";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL51603";"";"None";"545.58";"2";"7.32";"21";"CCCc1cc(Oc2ccc(C(F)(F)F)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL760263";"In vitro binding affinity against human PPAR alpha (peroxisome proliferator-activated alpha receptor)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136397";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL1783064";"";"None";"487.04";"1";"7.05";"41";"CC(C)C1=CC(C)(C)Oc2cc(OCCCOc3ccc(CC(C)(C)C(=O)O)cc3)c(Cl)cc21";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"15.85";"0.31";"0.67";"11.88";"0";"CHEMBL867227";"Binding affinity to human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139027";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL203409";"";"None";"486.97";"1";"7.16";"25";"CC[C@@](C)(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O";"IC50";"'='";"101.0";"nM";"7.00";"";"";"UO_0000065";"14.37";"0.28";"-0.16";"10.76";"0";"CHEMBL867227";"Binding affinity to human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139027";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL381477";"";"None";"486.97";"1";"7.16";"19";"CCCC(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"14.14";"0.28";"-0.27";"10.60";"0";"CHEMBL867227";"Binding affinity to human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139027";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL491039";"";"None";"452.49";"0";"4.15";"7";"CCn1c(SCC(=O)Nc2ccc(C(=O)O)cc2)nnc1-c1cc2cccc(OC)c2o1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"13.26";"0.26";"1.85";"5.02";"0";"CHEMBL1033968";"Displacement of fluorescent pan PPAR agonist form GST-tagged human PPARalpha ligand binding domain by FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140169";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL392951";"";"None";"506.52";"2";"6.67";"28c";"O=C(O)COc1ccc(SCc2cccc(F)c2OCc2ccc(C(F)(F)F)cc2)c2c1CCC2";"IC50";"'='";"3670.0";"nM";"5.43";"";"";"UO_0000065";"10.73";"0.21";"-1.23";"9.75";"0";"CHEMBL896361";"Displacement of [3H]2-(4-(2-(3-(2,4-difluorophenyl)-1-heptylureido)ethyl)phenoxy)-2-methylbutanoic acid from human PPARalpha after 30 mins by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL267147";"";"None";"506.52";"2";"6.67";"28a";"O=C(O)COc1ccc(SCc2c(F)cccc2OCc2ccc(C(F)(F)F)cc2)c2c1CCC2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL896361";"Displacement of [3H]2-(4-(2-(3-(2,4-difluorophenyl)-1-heptylureido)ethyl)phenoxy)-2-methylbutanoic acid from human PPARalpha after 30 mins by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL392949";"";"None";"476.64";"1";"6.81";"13d";"CC(C)(C)c1ccc(COc2ccc(CSc3ccc(OCC(=O)O)c4c3CCC4)cc2)cc1";"IC50";"'='";"1540.0";"nM";"5.81";"";"";"UO_0000065";"12.19";"0.23";"-1.00";"10.42";"0";"CHEMBL896361";"Displacement of [3H]2-(4-(2-(3-(2,4-difluorophenyl)-1-heptylureido)ethyl)phenoxy)-2-methylbutanoic acid from human PPARalpha after 30 mins by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148881";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL191149";"";"None";"425.53";"1";"5.36";"7";"CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1";"IC50";"'='";"74.0";"nM";"7.13";"";"";"UO_0000065";"16.76";"0.31";"1.77";"8.73";"0";"CHEMBL830983";"In vitro binding affinity for human PPAR alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140307";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL4545223";"";"None";"657.73";"2";"8.21";"32";"CCOc1ccc(-c2ccc(CCCc3nn(-c4ccc(C(F)(F)F)cc4)c(=O)n3-c3ccc(C(C)(C)C)cc3)cc2)cc1CC(=O)O";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"11.67";"0.22";"-0.53";"8.89";"0";"CHEMBL4332153";"Antagonist activity at recombinant human PPARalpha assessed as inhibition of GW7647-induced receptor activation after overnight incubation by cell-based luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4330102";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";""
"CHEMBL223349";"";"None";"512.61";"2";"5.54";"17";"Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNC(=O)CCc2ccccc2)c1";"IC50";"'='";"4962.0";"nM";"5.30";"";"";"UO_0000065";"10.35";"0.19";"-0.24";"5.22";"0";"CHEMBL912555";"Displacement of [3H]2-(4-{2-[3-(2,4-difluoro-phenyl)-1-heptyl-ureido]-ethyl}-phenoxy)-2-methyl-butyric acid from hPPARalpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146164";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL202617";"";"None";"479.53";"1";"5.96";"10h";"O=C(O)Cn1ccc2cc(OCCCOc3ccc4cc(C(=O)c5ccccc5)ccc4c3)ccc21";"IC50";"'='";"484.0";"nM";"6.32";"";"";"UO_0000065";"13.17";"0.24";"0.36";"8.12";"0";"CHEMBL859134";"Displacement of [3H]L-783483 from human PPAR alpha by SPA assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149440";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
